orte,Basel,Bern,Lugano,Meiringen,Nyon,Rothrist_Ost,Rothrist_West,Zernez,Zuerich,X,Y
Basel,0,94885.50671853172,261718.97015737658,143657.40816957285,226182.5683951115,46658.30755955052,48046.20987864904,261802.5105011608,83879.65469294993,2611412,1266494
Bern,94608.91449114558,0,276409.4706951681,84443.04203189343,133230.32472425577,61348.80809734204,62736.71041644055,301009.082832655,123086.2270244441,2600418,1199531
Lugano,261429.79199149986,276602.9828565547,0,157459.88945744917,407900.04453313444,215953.09047809022,215362.13999983427,190863.66559215484,205054.88561810806,2717555,1096262
Meiringen,143210.46173833954,84693.48181254035,157156.29603519084,0,220172.38808864763,97733.76022492988,97142.80974667391,247062.64283775515,100461.59166247855,2657113,1175381
Nyon,225286.53943648672,132450.2494359186,407087.0956405092,219590.8996262448,0,192026.43304268317,193414.33536178168,431686.70777799614,253763.85196978523,2505662,1139251
Rothrist_Ost,47455.55431076412,62628.74517581895,215060.66259782604,96999.10061002233,193925.80685239873,0,1387.9023190985133,239660.27473531294,61737.41892710207,2634209,1240318
Rothrist_West,46067.65199166561,61240.84285672043,215651.613076082,97590.0510882783,192537.9045333002,590.9504782559678,0,240251.22521356892,62328.36940535804,2634163,1240342
Zernez,261529.29494783012,301189.7139763943,190554.8881035496,247623.1124707544,432486.7756529741,240539.82159792984,239948.8711196739,0,179267.05110545456,2803017,1175491
Zuerich,83430.0560487218,123090.47507728598,204824.57218078905,100522.86487045008,254387.53675386577,62440.58269882153,61849.63222056555,179322.5662932938,0,2683893,1247701
